# 2024-05-29
# Data taken from the EDQM Standard Terms database (http://standardterms.edqm.eu) with the permission of the European Directorate for the Quality of Medicines & HealthCare, Council of Europe (EDQM).
"CLASS";"CODE";"SYNONYME"
"PDF";"10100500";"Konzentrat zur Herstellung einer Suspension zum Einnehmen"
"PDF";"10101000";"Tropfen zum Einnehmen, Lösung"
"PDF";"10102000";"Tropfen zum Einnehmen, Suspension"
"PDF";"10103000";"Tropfen zum Einnehmen, Emulsion"
"PDF";"10104000";"Flüssigkeit zum Einnehmen"
"PDF";"10105000";"Lösung zum Einnehmen"
"PDF";"10106000";"Suspension zum Einnehmen"
"PDF";"10107000";"Emulsion zum Einnehmen"
"PDF";"10108000";"Gel zum Einnehmen"
"PDF";"10109000";"Paste zum Einnehmen"
"PDF";"10110000";"Pulver zur Herstellung einer Lösung zum Einnehmen"
"PDF";"10111000";"Pulver zur Herstellung einer Suspension zum Einnehmen"
"PDF";"10112000";"Granulat zur Herstellung einer Lösung zum Einnehmen"
"PDF";"10113000";"Granulat zur Herstellung einer Suspension zum Einnehmen"
"PDF";"10117000";"Sirup"
"PDF";"10118000";"Pulver zur Herstellung eines Sirups"
"PDF";"10119000";"Granulat zur Herstellung eines Sirups"
"PDF";"10120000";"Tablette zur Herstellung einer Lösung zum Einnehmen"
"PDF";"10121000";"Tablette zur Herstellung einer Suspension zum Einnehmen"
"PDF";"10121500";"Tablette zur Herstellung einer Suspension zum Einnehmen für ein Dosiergerät"
"PDF";"10122000";"Arzneitee"
"PDF";"10201000";"Pulver zum Einnehmen"
"PDF";"10202000";"Teeaufgusspulver"
"PDF";"10203000";"Brausepulver"
"PDF";"10204000";"Granulat"
"PDF";"10205000";"Brausegranulat"
"PDF";"10206000";"magensaftresistentes Granulat"
"PDF";"10207000";"Retardgranulat"
"PDF";"10208000";"Granulat mit veränderter Wirkstofffreisetzung"
"PDF";"10209000";"Oblatenkapsel"
"PDF";"10210000";"Hartkapsel"
"PDF";"10211000";"Weichkapsel"
"PDF";"10212000";"magensaftresistente Hartkapsel"
"PDF";"10213000";"magensaftresistente Weichkapsel"
"PDF";"10214000";"Weichkapsel zum Zerbeißen"
"PDF";"10215000";"Hartkapsel, retardiert"
"PDF";"10216000";"Weichkapsel, retardiert"
"PDF";"10217000";"Hartkapsel mit veränderter Wirkstofffreisetzung"
"PDF";"10218000";"Weichkapsel mit veränderter Wirkstofffreisetzung"
"PDF";"10219000";"Tablette"
"PDF";"10220000";"überzogene Tablette"
"PDF";"10221000";"Filmtablette"
"PDF";"10222000";"Brausetablette"
"PDF";"10223000";"Schmelztablette"
"PDF";"10224000";"Lyophilisat zum Einnehmen"
"PDF";"10225000";"magensaftresistente Tablette"
"PDF";"10226000";"Retardtablette"
"PDF";"10227000";"Tablette mit veränderter Wirkstofffreisetzung"
"PDF";"10228000";"Kautablette"
"PDF";"10229000";"wirkstoffhaltiges Kaugummi"
"PDF";"10230000";"Lutschpastille"
"PDF";"10231000";"Streukügelchen"
"PDF";"10236100";"Schmelzfilm"
"PDF";"10301000";"Gurgellösung"
"PDF";"10302000";"Konzentrat zur Herstellung einer Gurgellösung"
"PDF";"10303000";"Pulver zur Herstellung einer Gurgellösung"
"PDF";"10304000";"Tablette zur Herstellung einer Gurgellösung"
"PDF";"10305000";"Lösung zur Anwendung in der Mundhöhle"
"PDF";"10306000";"Suspension zur Anwendung in der Mundhöhle"
"PDF";"10307000";"Tropfen zur Anwendung in der Mundhöhle"
"PDF";"10308000";"Spray zur Anwendung in der Mundhöhle"
"PDF";"10308100";"Spray zur Anwendung in der Mundhöhle, Emulsion"
"PDF";"10308200";"Spray zur Anwendung in der Mundhöhle, Lösung"
"PDF";"10308300";"Spray zur Anwendung in der Mundhöhle, Suspension"
"PDF";"10309000";"Sublingualspray"
"PDF";"10309100";"Sublingualspray, Emulsion"
"PDF";"10309200";"Sublingualspray, Lösung"
"PDF";"10309300";"Sublingualspray, Suspension"
"PDF";"10310000";"Mundspülung"
"PDF";"10311000";"Tablette zur Herstellung einer Mundspülung"
"PDF";"10312000";"Lösung zur Anwendung am Zahnfleisch"
"PDF";"10313000";"Gel zur Anwendung in der Mundhöhle"
"PDF";"10314000";"Paste zur Anwendung in der Mundhöhle"
"PDF";"10314005";"Salbe zur Anwendung in der Mundhöhle"
"PDF";"10314010";"Creme zur Anwendung in der Mundhöhle"
"PDF";"10314011";"Buccalfilm"
"PDF";"10315000";"Gel zur Anwendung am Zahnfleisch"
"PDF";"10316000";"Paste zur Anwendung am Zahnfleisch"
"PDF";"10317000";"Kapsel zur Anwendung in der Mundhöhle"
"PDF";"10317500";"Sublingualfilm"
"PDF";"10318000";"Sublingualtablette"
"PDF";"10319000";"mucoadhäsive Buccaltablette"
"PDF";"10320000";"Buccaltablette"
"PDF";"10321000";"Lutschtablette"
"PDF";"10322000";"Lutschtablette, gepresst"
"PDF";"10323000";"Pastille"
"PDF";"10401000";"Pulver zur periodontalen Anwendung"
"PDF";"10401500";"Dentalzement"
"PDF";"10402000";"Dentalgel"
"PDF";"10403000";"Dentalstift"
"PDF";"10404000";"Insert für Parodontaltaschen"
"PDF";"10405000";"Dentalpulver"
"PDF";"10406000";"Dentallösung"
"PDF";"10407000";"Dentalsuspension"
"PDF";"10408000";"Dentalemulsion"
"PDF";"10409000";"Zahnpaste"
"PDF";"10410000";"Gel zur periodontalen Anwendung"
"PDF";"10411000";"Insert zur periodontalen Anwendung"
"PDF";"10413000";"Pulver zur Herstellung eines Dentalzements"
"PDF";"10414000";"Lösung zur Herstellung eines Dentalzements"
"PDF";"10501000";"Badezusatz"
"PDF";"10502000";"Creme"
"PDF";"10503000";"Gel"
"PDF";"10504000";"Salbe"
"PDF";"10505000";"Paste zur Anwendung auf der Haut"
"PDF";"10506000";"wirkstoffhaltiges Pflaster"
"PDF";"10507000";"Schaum zur Anwendung auf der Haut"
"PDF";"10508000";"Shampoo"
"PDF";"10509000";"Spray zur Anwendung auf der Haut, Lösung"
"PDF";"10510000";"Spray zur Anwendung auf der Haut, Suspension"
"PDF";"10511000";"Pulver-Spray zur Anwendung auf der Haut"
"PDF";"10512000";"Flüssigkeit zur Anwendung auf der Haut"
"PDF";"10513000";"Lösung zur Anwendung auf der Haut"
"PDF";"10514000";"Konzentrat zur Herstellung einer Lösung zur Anwendung auf der Haut"
"PDF";"10514500";"Pulver zur Herstellung einer Lösung zur Anwendung auf der Haut"
"PDF";"10515000";"Suspension zur Anwendung auf der Haut"
"PDF";"10516000";"Emulsion zur Anwendung auf der Haut"
"PDF";"10517000";"Pulver zur Anwendung auf der Haut"
"PDF";"10517500";"Kutanes Pflaster"
"PDF";"10518000";"Lösung zur Iontophorese"
"PDF";"10518500";"Pulver zur Herstellung einer Lösung zur Iontophorese"
"PDF";"10519000";"transdermales Pflaster"
"PDF";"10520000";"filmbildende Flüssigkeit"
"PDF";"10521000";"wirkstoffhaltiger Nagellack"
"PDF";"10522000";"Umschlagpaste"
"PDF";"10523000";"Stift zur Anwendung auf der Haut"
"PDF";"10524000";"Schwämmchen zur Anwendung auf der Haut"
"PDF";"10525000";"imprägnierter Verband"
"PDF";"10546250";"Transdermales Gel"
"PDF";"10546400";"transdermale Lösung"
"PDF";"10546500";"transdermales Spray, Lösung"
"PDF";"10547000";"transdermales System"
"PDF";"10548000";"Pricktestlösung"
"PDF";"10549000";"Scratchtestlösung"
"PDF";"10550000";"Pflaster für Provokationstest"
"PDF";"10600500";"Konzentrat zur Herstellung einer Lösung zur intraokularen Anwendung"
"PDF";"10601000";"Augencreme"
"PDF";"10602000";"Augengel"
"PDF";"10603000";"Augensalbe"
"PDF";"10604000";"Augentropfen, Lösung"
"PDF";"10604500";"Augentropfen, Emulsion"
"PDF";"10605000";"Augentropfensuspension"
"PDF";"10608000";"Lösungsmittel zur Herstellung von Augentropfen"
"PDF";"10609000";"Augentropfen mit verlängerter Wirkungsdauer"
"PDF";"10610000";"Augenbad"
"PDF";"10611000";"Lösungsmittel zur Herstellung eines Augenbades"
"PDF";"10612000";"Augeninsert"
"PDF";"10613000";"Teststreifen zur Anwendung am Auge"
"PDF";"10701000";"Ohrencreme"
"PDF";"10702000";"Ohrengel"
"PDF";"10703000";"Ohrensalbe"
"PDF";"10704000";"Ohrentropfen, Lösung"
"PDF";"10705000";"Ohrentropfen, Suspension"
"PDF";"10706000";"Ohrentropfen, Emulsion"
"PDF";"10708000";"Ohrenpulver"
"PDF";"10709000";"Ohrenspray, Lösung"
"PDF";"10710000";"Ohrenspray, Suspension"
"PDF";"10711000";"Ohrenspray, Emulsion"
"PDF";"10712000";"Ohrenspüllösung"
"PDF";"10713000";"Ohrenspülung, Emulsion"
"PDF";"10714000";"Ohrentampon"
"PDF";"10715000";"Ohrenstäbchen"
"PDF";"10801000";"Nasencreme"
"PDF";"10802000";"Nasengel"
"PDF";"10803000";"Nasensalbe"
"PDF";"10804000";"Nasentropfen, Lösung"
"PDF";"10805000";"Nasentropfen, Suspension"
"PDF";"10806000";"Nasentropfen, Emulsion"
"PDF";"10807000";"Nasenpulver"
"PDF";"10808000";"Nasenspray, Lösung"
"PDF";"10809000";"Nasenspray, Suspension"
"PDF";"10810000";"Nasenspray, Emulsion"
"PDF";"10811000";"Nasenspülung"
"PDF";"10812000";"Nasenstift"
"PDF";"10901000";"Vaginalcreme"
"PDF";"10902000";"Vaginalgel"
"PDF";"10903000";"Vaginalsalbe"
"PDF";"10904000";"Vaginalschaum"
"PDF";"10905000";"Vaginallösung"
"PDF";"10906000";"Vaginalsuspension"
"PDF";"10907000";"Vaginalemulsion"
"PDF";"10908000";"Tablette zur Herstellung einer Vaginallösung"
"PDF";"10909000";"Vaginalzäpfchen"
"PDF";"10910000";"Hartkapsel zur vaginalen Anwendung"
"PDF";"10911000";"Weichkapsel zur vaginalen Anwendung"
"PDF";"10912000";"Vaginaltablette"
"PDF";"10913000";"Schaumovula"
"PDF";"10914000";"Wirkstoffhaltiger Vaginaltampon"
"PDF";"10915000";"vaginales Wirkstofffreisetzungssystem"
"PDF";"11001000";"Rektalcreme"
"PDF";"11002000";"Rektalgel"
"PDF";"11003000";"Rektalsalbe"
"PDF";"11004000";"Rektalschaum"
"PDF";"11005000";"Rektallösung"
"PDF";"11006000";"Rektalsuspension"
"PDF";"11007000";"Rektalemulsion"
"PDF";"11008000";"Konzentrat zur Herstellung einer Rektallösung"
"PDF";"11009000";"Pulver zur Herstellung einer Rektallösung"
"PDF";"11010000";"Pulver zur Herstellung einer Rektalsuspension"
"PDF";"11011000";"Tablette zur Herstellung einer Rektallösung"
"PDF";"11012000";"Tablette zur Herstellung einer Rektalsuspension"
"PDF";"11013000";"Zäpfchen"
"PDF";"11014000";"Rektalkapsel"
"PDF";"11015000";"Rektaltampon"
"PDF";"11101000";"Lösung für einen Vernebler"
"PDF";"11102000";"Suspension für einen Vernebler"
"PDF";"11103000";"Pulver zur Herstellung einer Suspension für einen Vernebler"
"PDF";"11104000";"Pulver zur Herstellung einer Lösung für einen Vernebler"
"PDF";"11105000";"Emulsion für einen Vernebler"
"PDF";"11106000";"Druckgasinhalation, Lösung"
"PDF";"11107000";"Druckgasinhalation, Suspension"
"PDF";"11108000";"Druckgasinhalation, Emulsion"
"PDF";"11109000";"Pulver zur Inhalation"
"PDF";"11110000";"Hartkapsel mit Pulver zur Inhalation"
"PDF";"11111000";"einzeldosiertes Pulver zur Inhalation"
