# 2024-05-29
# This is a hand-crafted list providing synonyms for EDQM Standard Terms
"SYNONYM";"TARGETCODE";"NAME"
###### Release characteristics  ---------------------------------------------------------------------------------------
"Magensaftresistent";"RCA-0044";"Delayed"
"Magensaftresist.";"RCA-0044";"Delayed"
"Magensaftres.";"RCA-0044";"Delayed"
"retard";"RCA-0045";"Prolonged"
"ret.";"RCA-0045";"Prolonged"
"retardiert";"RCA-0045";"Prolonged"
##### Basic dose form -------------------------------------------------------------------------------------------------
"Kapsel";"BDF-0051";"Capsule"
"Kaps.";"BDF-0051";"Capsule"
"Granulat";"BDF-0053";"Granules"
"Gran.";"BDF-0053";"Granules"
"Implantat";"BDF-0055";"Implant"
"Lutschtabl.";"BDF-0058";"Lozenge"
"Lutschtbl.";"BDF-0058";"Lozenge"
"Lutschtablette";"BDF-0058";"Lozenge"
"Lyophilisat";"BDF-0059";"Lyophilisate"
"Pessar";"BDF-0063";"Pessary"
"Pflaster";"BDF-0065";"Plaster"
"Puder";"BDF-0066";"Powder"
"Pulver";"BDF-0066";"Powder"
"Suppositorium";"BDF-0068";"Suppository"
"Tablette";"BDF-0069";"Tablet"
"Tabl.";"BDF-0069";"Tablet"
"Tbl.";"BDF-0069";"Tablet"
"Tee";"BDF-0070";"Tea"
"Creme";"BDF-0071";"Cream"
"Lotion";"BDF-0071";"Cream"
"Flüssigkeit";"BDF-0082";"Liquid"
"Lösung";"BDF-0083";"Solution"
"Lsg.";"BDF-0083";"Solution"
"Lösungsmittel";"BDF-0084";"Solvent"
"Sirup";"BDF-0086";"Syrup"
"Gas";"BDF-0087";"Medicinal gas"
"Spray";"BDF-0094";"Spray (unspecified)"
"Zement";"BDF-0103";"Cement"
##### Intended Site ---------------------------------------------------------------------------------------------------
"i.g.";"ISI-0106";"Gastric"
"i.p.";"ISI-0109";"Intraperitoneal"
"p.i.";"ISI-0034";"Pulmonary"
"p.o.";"ISI-0031";"Oral"
"s.l.";"ISI-0118";"Sublingual"
# Pharmaceutical Dose Form --------------------------------------------------------------------------------------------
"Tablette";"PDF-10219000";"Tablet"
"Tabl.";"PDF-10219000";"Tablet"
"Tbl.";"PDF-10219000";"Tablet"
"Filmtablette";"PDF-10221000";"Film-coated tablet"
"Filmtbl.";"PDF-10221000";"Film-coated tablet"
"Lacktablette";"PDF-10220000";"Coated tablet"
"Lacktbl.";"PDF-10220000";"Coated tablet"
"Dragee";"PDF-10220000";"Coated tablet"
"Drg.";"PDF-10220000";"Coated tablet"
"Retardtablette";"PDF-10226000";"Prolonged-release tablet"
"Retardtbl.";"PDF-10226000";"Prolonged-release tablet"
"Hartkapsel";"PDF-10210000";"Capsule, hard"
"Hartkaps.";"PDF-10210000";"Capsule, hard"
"Weichkapsel";"PDF-10211000";"Capsule, soft"
"Weichkaps.";"PDF-10211000";"Capsule, soft"
"Augensalbe";"PDF-10603000";"Eye ointment"
"Brausetablette";"PDF-10222000";"Effervescent tablet"
"Brausetbl.";"PDF-10222000";"Effervescent tablet"
"Gel";"PDF-10546250";"Transdermal gel"
"Granulat zum Einnehmen";"PDF-10204000";"Granules"
"Gran. zum Einnehmen";"PDF-10204000";"Granules"
"Granulat";"PDF-10204000";"Granules"
"Infusionslösung";"PDF-11210000";"Solution for infusion"
"Infusionslsg.";"PDF-11210000";"Solution for infusion"
"Inf.-Lsg.";"PDF-11210000";"Solution for infusion"
"Injektionslösung";"PDF-11201000";"Solution for injection"
"Injektionslsg.";"PDF-11201000";"Solution for injection"
"Inj.-Lsg.";"PDF-11201000";"Solution for injection"
"Kaudragee";"PDF-10228000";"Chewable tablet"
"Kaudrg.";"PDF-10228000";"Chewable tablet"
"Kautablette";"PDF-10228000";"Chewable tablet"
"Kautbl.";"PDF-10228000";"Chewable tablet"
"Buccaltablette";"PDF-10320000";"Buccal tablet"
"Buccaltbl.";"PDF-10320000";"Buccal tablet"
"Lotion";"PDF-10502000";"Cream"
"Pulver zur Anw. auf der Haut";"PDF-10517000";"Cutaneous powder"
"Pulver z. Anw. auf der Haut";"PDF-10517000";"Cutaneous powder"
"Pulver zur Anwendung auf der Haut";"PDF-10517000";"Cutaneous powder"
"Pulver z. Anwendung auf der Haut";"PDF-10517000";"Cutaneous powder"
"Pulver zum Einnehmen";"PDF-10201000";"Oral powder"
"Pulver z. Einnehmen";"PDF-10201000";"Oral powder"
"Tropfen zum Einnehmen, Lösung";"PDF-10101000";"Oral drops, solution"
"Tropfen zum Einnehmen, Lsg.";"PDF-10101000";"Oral drops, solution"
"Tropfen zum Einnehmen, Suspension";"PDF-10102000";"Oral drops, suspension"
"Tropfen zum Einnehmen, Susp.";"PDF-10102000";"Oral drops, suspension"
"Vaginaltbl.";"PDF-10912000";"Vaginal tablet"
"Zerbeißkaps.";"PDF-10214000";"Chewable capsule, soft"
"Blasenspüllösung.";"PDF-13077000";"Urethral emulsion"
"Blasenspüllsg.";"PDF-13077000";"Urethral emulsion"
"Manteltablette, magensaftresistent";"PDF-10225000";"Gastro-resistant tablet"
"Manteltablette, magensaftres.";"PDF-10225000";"Gastro-resistant tablet"
