# Headline
abacavir;abacavir;2933.59;42.100 Ann. O (V);HSC/21;1998;76;136470-78-5;
abafungin;abafungine;2941.90;42.100 Ann. O (III);HSC/21;1998;74;129639-79-8;
abagovomab;abagovomab;3002.13;NC2116B1b Ann. S/2;HSC/55;2015;95;792921-10-9;HSC/39 (3002.10)
abaloparatide;abaloparatide;2937.19;NC2004B1b Ann. O/5;HSC/53;2014;109;247062-33-5;
abametapir;abamétapir;2933.39;NC2116B1b Ann. R/4;HSC/55;2015;110;1762-34-1;
abaperidone;abapéridone;2934.99;NC2004B1b Ann. O/6;HSC/53;2014;80;183849-43-6;HSC/23 (2934.90)
abarelix;abarélix;2937.19;NC2116B1b Ann. R/7;HSC/55;2015;78;183552-38-7;HSC/22 (2933.39)
abatacept;abatacept;3002.13;NC2116B1b Ann. S/2;HSC/55;2015;91;332348-12-6;HSC/37 (3002.10)
abciximab;abciximab;3002.13;NC2116B1b Ann. S/2;HSC/55;2015;70;143653-53-6;HSC/18 (3002.10)
abdavomeran;abdavoméran;3002.41 ;NC2803Bc Ann. T/11;HSC/67;2021;124 COVID-19;2417899-75-1;
abecomotide;abécomotide;3002.41;NC2803Bc Ann. T/4;HSC/67;2021;109;907596-50-3;HSC/53 (3002.20)
abediterol;abéditérol;2933.79;NC1760B1b Ann. N/7;HSC/49;2012;104;915133-65-2;
abelacimab;abélacimab;3002.13;NC2626B1b Ann. O/6;HSC/63;2019;119;2098724-83-3;
abemaciclib;abémaciclib;2933.59;NC2237B1b Ann. S/8;HSC/57;2016;112;1231929-97-7;
abequolixron ;abéquolixron; 2922.19;NC2930Bc Ann. P/25;HSC/69;2022;124;610318-54-2;
abetimus;abétimus;2934.99;NC2004B1b Ann. O/6;HSC/53;2014;81;167362-48-3;HSC/25 (2934.90)
abexinostat;abexinostat;2932.99;NC1760B1b Ann. N/8;HSC/49;2012;105;783355-60-2;
abicipar pegol;abicipar pégol;3907.29;NC2803Bc Ann. T/4;HSC/67;2021;108;1327278-94-3;HSC/53 (3907.20)
abimtrelvir;abimtrelvir;2933.69;NC3086Bc Ann. O/7;HSC/71;2023;126 - COVID-19;2647530-75-2;
abiraterone;abiratérone;2937.29;NC2116B1b Ann. R/7;HSC/55;2015;74;154229-19-3;HSC/21 (2933.39)
abitesartan;abitésartan;2933.99;NC2004B1b Ann. O/6;HSC/53;2014;73;137882-98-5;HSC/18 (2933.90)
abituzumab;abituzumab;3002.13;NC2237B1b Ann. T/13;HSC/57;2016;109;1105038-73-0;HSC/53 (3002.10)
abivertinib;abivertinib;2933.59;NC2626B1b Ann. O/6;HSC/63;2019;119;1557267-42-1;
abrezekimab;abrézékimab;3002.13;NC2626B1b Ann. O/5;HSC/63;2019;118;2043952-59-4;
abrilumab;abrilumab;3002.13;NC2237B1b Ann. T/13;HSC/57;2016;111;1342290-43-0;HSC/55 (3002.10)
abrineurin;abrineurine;2937.19;NC0730B2 Ann. M/4;HSC/31;2003;84;178535-93-8;
abrocitinib;abrocitinib;2935.90;NC2803Bc Ann. T/2;HSC/67;2021;120;1622902-68-4;
abrucomstat;abrucomstat ;2920.90;NC2930Bc Ann. P/25;HSC/69;2022;124;100502-66-7;
acalabrutinib;acalabrutinib;2933.39;NC2237B1b Ann. S/9;HSC/57;2016;113;1420477-60-6;
acalisib;acalisib;2933.59;NC2004B1b Ann. O/5;HSC/53;2014;109;870281-34-8;
acapatamab;acapatamab;3002.13 ;NC2803Bc Ann. T/7;HSC/67;2021;123;2314491-93-3;
acarbose;acarbose;2932.99;NC2004B1b Ann. O/6;HSC/53;2014;40;56180-94-0;HSC/11 (2932.90)
acasunlimab;acasunlimab ;3002.13;NC2930Bc Ann. P/25;HSC/69;2022;124;2253937-12-9;
acavameran;acavaméran ;2934.99;NC2930Bc Ann. P/25;HSC/69;2022;124;2159155-74-3;
acazicolcept;acazicolcept;3002.13;NC2930Bc Ann. P/25;HSC/69;2022;124;2270247-50-0;
acebilustat;acébilustat;2934.99;NC2373B1b Ann. O/6;HSC/59;2017;114;943764-99-6;
acemannan;acémannan;3913.90;38.100 Ann. Q (No. 118);HSC/11;1993;64;110042-95-0;
acetorphine;acétorphine;2939.19;E.N. Chap. 29 - List I-I (Narcotic drugs);HSC/25;2000;17;25333-77-1;
Acetylcysteine zidrimer;Acétylcystéine zidrimère;3908.90;NC3086Bc Ann. O/8;HSC/71;2023;127 - COVID-19 ADDENDUM;2736440-65-4;
acetylmethadol;acétylméthadol;2922.19;E.N. Chap. 29 - List I-I (Narcotic drugs);HSC/25;2000;5;509-74-0;
aciclovir;aciclovir;2933.59;38.100 Ann. Q (No. 119);HSC/11;1993;42;59277-89-3;
acipimox;acipimox;2933.99;NC2004B1b Ann. O/6;HSC/53;2014;33;51037-30-0;HSC/11 (2933.90)
acitazanolast;acitazanolast;2933.99;NC2004B1b Ann. O/6;HSC/53;2014;72;114607-46-4;HSC/18 (2933.90)
acitretin;acitrétine;2918.99;NC2373B1b Ann. O/12;HSC/59;2017;56;55079-83-9;HSC/11 (2918.90)
aclantate;aclantate;2934.99;NC2004B1b Ann. O/6;HSC/53;2014;27;39633-62-0;HSC/11 (2934.90)
aclerastide;aclérastide;2933.29;NC2116B1b Ann. R/4;HSC/55;2015;110;227803-63-6;
aclidinium bromide;bromure d'aclidinium;2934.99;NC1178B1c Ann. O/5;HSC/39;2007;95;320345-99-1;
aclimostat;aclimostat;2934.99;NC2803Bc Ann. T/2;HSC/67;2021;120;2082752-83-6;
Acloproxalap;Acloproxalap;2933.49;NC3086Bc Ann. O/8;HSC/71;2023;127;1824609-67-7;
acmucabtagene autoleucel;acmucabtagène autoleucel;3002.51;NC2930Bc Ann. P/27;HSC/69;2022;125;no mention;
acolbifene;acolbifène;2934.99;NC0730B2 Ann. M/6;HSC/31;2003;86;182167-02-8;
Acoltremon;Acoltrémon;2924.29;NC3086Bc Ann. O/8;HSC/71;2023;127;68489-09-8;
acorafloxacin;acorafloxacine;2933.49;NC2004B1b Ann. O/5;HSC/53;2014;111;878592-87-1;
acoramidis;acoramidis;2933.19 ;NC2803Bc Ann. T/6;HSC/67;2021;122;1446711-81-4;
acotiamide;acotiamide;2934.10;NC0938B2b Ann. O/3 (II);HSC/35;2005;91;185106-16-5;
acoziborole;acoziborole;2934.99;NC2501B1b Ann. M/5;HSC/61;2018;116;1266084-51-8;
acreozast;acréozast;2926.90;42.100 Ann. O (VI);HSC/21;1998;77;123548-56-1;
acrisorcin;acrisorcine;2933.99;NC2116B1b Ann. R/6;HSC/55;2015;13;7527-91-5;HSC/11 (2933.90)
acrivastine;acrivastine;2933.39;38.100 Ann. Q (No. 124);HSC/11;1993;51;87848-99-5;
acrixolimab;acrixolimab;3002.13;NC3086Bc Ann. O/7;HSC/71;2023;126;2506324-29-2;
acrizanib;acrizanib;2933.59;NC2501B1b Ann. M/5;HSC/61;2018;116;1229453-99-9;
acrocinonide;acrocinonide;2937.22;38.100 Ann. Q (No. 125);HSC/11;1993;27;28971-58-6;
acronine;acronine;2939.79;NC2116B1b Ann. S/1;HSC/55;2015;22;7008-42-6;HSC/21 (2939.90)   HSC/53 (2939.99)
actinium (225Ac) lintuzumab satetraxetan;actinium (225Ac) lintuzumab satétraxétan;2844.42;NC2803Bc Ann. T/3;HSC/67;2021;121;2209911-94-2;
actoxumab;actoxumab;3002.13;NC2116B1b Ann. S/2;HSC/55;2015;107;1245634-25-6;HSC/51 (3002.10)
acumapimod;acumapimod;2933.19;NC2116B1b Ann. R/5;HSC/55;2015;111;836683-15-9;
adafosbuvir;adafosbuvir;2934.99;NC2501B1b Ann. M/6;HSC/61;2018;117;1613589-09-5;
adagrasib;adagrasib;2933.59;NC2930Bc Ann. P/25;HSC/69;2022;124;2326521-71-3;
adalimumab;adalimumab;3002.13;NC2116B1b Ann. S/2;HSC/55;2015;82;331731-18-1;HSC/27 (3002.10)
adalimumab beta;adalimumab bêta;3002.13;NC2626B1b Ann. O/5;HSC/63;2019;118;1446410-95-2;
Adalimumab fosimdesonide;Adalimumab fosimdésonide;3002.13;NC3086Bc Ann. O/8;HSC/71;2023;127;2402772-93-2;
adaprolol;adaprolol;2922.19;40.260 Ann. L/2 (No. 38);HSC/17;1996;63;101479-70-3;
adargileukin alfa;adargileukine alfa;3002.13;NC2116B1b Ann. S/2;HSC/55;2015;89;250710-65-7;HSC/47 (3002.10)
adarigiline;adarigiline;2934.99;NC2501B1b Ann. M/6;HSC/61;2018;117;1124197-79-0;
adarotene;adarotène;2918.29;NC1500B1b Ann. K/6;HSC/44;2009;100;496868-77-0;
adatanserin;adatansérine;2933.59;"40.600 Ann. D, par. 6";HSC/18;1996;70;127266-56-2;
adavivint;adavivint;2933.39;NC2501B1b Ann. M/6;HSC/61;2018;117;1467013-03-3;
adavosertib;adavosertib;2933.59;NC2501B1b Ann. M/6;HSC/61;2018;117;955365-80-7;
adebrelimab;adébrélimab;3002.13 ;NC2803Bc Ann. T/6;HSC/67;2021;122;2247114-85-6;
adecatumumab;adecatumumab;3002.13;NC2116B1b Ann. S/2;HSC/55;2015;90;503605-66-1;HSC/35 (3002.10)
adefovir;adéfovir;2933.59;"40.600 Ann. D, par. 6";HSC/18;1996;72;106941-25-7;
adegramotide;adégramotide;3002.41;NC2803Bc Ann. T/4;HSC/67;2021;115;1252802-98-4;HSC/59 (3002.20)
adekalant;adékalant;2933.39;NC0430B2 Ann. Q/1 (II);HSC/27;2001;83;227940-00-3;
adelmidrol;adelmidrol;2924.19;NC2004B1b Ann. O/6;HSC/53;2014;70;1675-66-7;HSC/18 (2924.10)
aderbasib;aderbasib;2933.59;NC1443B1b Ann. P/6;HSC/43;2009;99;791828-58-5;
adezmapimod;adezmapimod;2933.39;NC2930Bc Ann. P/25;HSC/69;2022;124;152121-47-6;
adibendan;adibendan;2933.79;38.100 Ann. Q (No. 126);HSC/11;1993;57;100510-33-6;
adimlecleucel;adimlecleucel;3002.51;NC2803Bc Ann. T/4;HSC/67;2021;117;no mention;HSC/61 (3002.90)
adintrevimab;adintrévimab;3002.13;NC2930Bc Ann. P/27;HSC/69;2022;125;2516243-54-0;
adipiplon;adipiplon;2933.59;NC1443B1b Ann. P/5;HSC/43;2009;98;840486-93-3;
adlinacogene civaparvovec;adlinacogène civaparvovec;3002.49;NC2930Bc Ann. P/33;HSC/69;2022;120;2143579-02-4;HSC/67 (3002.90)
adomeglivant;adoméglivant;2924.29;NC2373B1b Ann. O/7;HSC/59;2017;115;1488363-78-5;
adomiparin sodium;adomiparine sodique;3001.90;NC1760B1b Ann. N/7;HSC/49;2012;104;9041-08-1;
adoprazine;adoprazine;2934.99;NC1443B1b Ann. P/6;HSC/43;2009;99;222551-17-9;
adrenomedullin pegol;adrénomedulline pégol;2937.19 ;NC2803Bc Ann. T/7;HSC/67;2021;123;1432735-93-7;
adriforant;adriforant;2933.59;NC2626B1b Ann. O/6;HSC/63;2019;119;943057-12-3;
adrogolide;adrogolide;2934.99;NC2004B1b Ann. O/6;HSC/53;2014;82;171752-56-0;HSC/27 (2934.90)
adrulipase alfa;adrulipase alfa;3507.90;NC2930Bc Ann. P/27;HSC/69;2022;125;2488626-93-1;
aducanumab;aducanumab;3002.13;NC2237B1b Ann. T/13;HSC/57;2016;110;1384260-65-4;HSC/55 (3002.10)
afabicin;afabicine;2934.99;NC2373B1b Ann. O/7;HSC/59;2017;115;1518800-35-5;
afacifenacin;afacifénacine;2933.59;NC1604B1b Ann. N/5;HSC/46;2010;101;877606-63-8;
afamelanotide;afamélanotide;2937.19;NC1553B1b Ann. O/7;HSC/45;2010;100;75921-69-6;
afamitresgene autoleucel;afamitresgène autoleucel;3002.51 ;NC2803Bc Ann. T/6;HSC/67;2021;122;no mention;
afasevikumab;afasévikumab;3002.13;NC2237B1b Ann. T/11;HSC/57;2016;113;1589503-30-9;HSC/57 (3002.10) (S/9)
afatinib;afatinib;2934.99;NC1604B1b Ann. N/6;HSC/46;2010;102;850140-72-6;
afegostat;afégostat;2933.39;NC1604B1b Ann. N/5;HSC/46;2010;101;169105-89-9;
afeletecan;afélétécan;2939.79;NC2237B1b Ann. T/12;HSC/57;2016;85;215604-75-4;HSC/29 (2939.99)
afelimomab;afélimomab;3002.13;NC2116B1b Ann. S/2;HSC/55;2015;72;156227-98-4;HSC/18 (3002.10)
aficamten;aficamtène;2934.99;NC2930Bc Ann. P/25;HSC/69;2022;124;2364554-48-1;
afimetoran;afimétoran;2933.39;NC2930Bc Ann. P/25;HSC/69;2022;124;2171019-55-7;
afimoxifene;afimoxifène;2922.19;NC1178B1c Ann. O/5;HSC/39;2007;95;68392-35-8;
afizagabar;afizagabar;2934.99;NC2803Bc Ann. T/2;HSC/67;2021;120;1398496-82-6;
aflibercept;aflibercept;3002.13;NC2116B1b Ann. S/2;HSC/55;2015;95;862111-32-8;HSC/39 (3002.10)
afovirsen;afovirsen;2934.99;NC2004B1b Ann. O/6;HSC/53;2014;70;151356-08-0;HSC/18 (2934.90)
afoxolaner;afoxolaner;2934.99;NC2004B1b Ann. O/4;HSC/53;2014;108;1093861-60-9;
aftobetin;aftobétine;2933.39;NC2004B1b Ann. O/5;HSC/53;2014;109;1208971-05-4;
afuresertib;afurésertib;2934.99;NC2004B1b Ann. O/4;HSC/53;2014;108;1047644-62-1;
afutuzumab;afutuzumab;3002.13;NC2116B1b Ann. S/2;HSC/55;2015;99;949142-50-1;HSC/43 (3002.10)
agalsidase alfa;agalsidase alfa;3507.90;NC0590B2 Ann. L/15;HSC/29;2002;84;104138-64-9;
agalsidase beta;agalsidase beta;3507.90;NC0590B2 Ann. L/15;HSC/29;2002;84;104138-64-9;
aganepag;aganépag;2934.99;NC1760B1b Ann. N/7;HSC/49;2012;104;910562-18-4;
aganirsen;aganirsen;2934.99;NC1604B1b Ann. N/5;HSC/46;2010;101;1146887-67-3;
agatolimod;agatolimod;2934.99;NC1443B1b Ann. P/5;HSC/43;2009;98;207623-20-9;
agerafenib;agérafénib;2934.99;NC2373B1b Ann. O/7;HSC/59;2017;115;1188910-76-0;
aglatimagene besadenovec;aglatimagène bésadénovec;3002.49;NC2930Bc Ann. P/33;HSC/69;2022;113;1621271-62-2;HSC/57 (3002.90)
aglepristone;aglépristone;2922.50;42.100 Ann. O (VII);HSC/21;1998;70;124478-60-0;
agomelatine;agomélatine;2924.29;42.100 Ann. O (IV);HSC/21;1998;75;138112-76-2;
aguracingene cadoparvovec;aguracingène cadoparvovec;3002.49;NC3086Bc Ann. O/7;HSC/71;2023;126;2417550-70-8;
alacizumab pegol;alacizumab pégol;3002.13;NC2116B1b Ann. S/2;HSC/55;2015;98;934216-54-3;HSC/43 (3002.10)
aladorian;aladorian;2934.99;NC1874B1b Ann. O/2;HSC/51;2013;107;865433-00-7;
alagebrium chloride;chlorure d'alagébrium;2934.10;NC0938B2b Ann. O/3 (II);HSC/35;2005;91;341028-37-3;
alalevonadifloxacin;alalévonadifloxacine;2933.39;NC2373B1b Ann. O/6;HSC/59;2017;114;706809-20-3;
alamifovir;alamifovir;2933.59;NC0938B2b Ann. O/2;HSC/35;2005;89;193681-12-8;
alatrofloxacin;alatrofloxacine;2933.99;NC2004B1b Ann. O/6;HSC/53;2014;75;157182-32-6;HSC/21 (2933.90)
albaconazole;albaconazole;2933.59;NC0845B2 Ann. M/1 (II);HSC/33;2004;87;187949-02-6;
albenatide;albénatide;3002.12;NC2237B1b Ann. T/13;HSC/57;2016;111;1031700-39-6;HSC/55 (3002.10)
albiglutide;albiglutide;2937.19;NC1310B1b Ann. N/4;HSC/41;2008;97;782500-75-8;
albinterferon alfa-2b;albinterféron alfa-2b;3002.13;NC2116B1b Ann. S/2;HSC/55;2015;97;472960-22-8;HSC/41 (3002.10)
albitiazolium bromide;bromure d'albitiazolium;2934.10;NC1604B1b Ann. N/5;HSC/46;2010;101;321915-72-4;
albusomatropin;albusomatropine;2937.11;NC2373B1b Ann. O/6;HSC/59;2017;114;1636119-82-8;
albutrepenonacog alfa;albutrépénonacog alfa;3002.12;NC2116B1b Ann. S/2;HSC/55;2015;108;1357448-54-4;HSC/53 (3002.10)
alcaftadine;alcaftadine;2933.39;NC1178B1c Ann. O/3;HSC/39;2007;94;147084-10-4;
alclofenac;alclofénac;2918.99;NC2373B1b Ann. O/12;HSC/59;2017;23;22131-79-9;HSC/11 (2918.90)
aldafermin;aldafermine;2937.19;NC2803Bc Ann. T/2;HSC/67;2021;120;1616639-03-2;
aldesleukin;aldesleukin;3504.00;38.100 Ann. Q (No. 128);HSC/11;1993;63;110942-02-4;
aldoxorubicin;aldoxorubicine;2941.90;NC2004B1b Ann. O/4;HSC/53;2014;108;1361644-26-9;
aldumastat;aldumastat;2933.59 ;NC2803Bc Ann. T/7;HSC/67;2021;123;1957278-93-1;
alectinib;alectinib;2934.99;NC2004B1b Ann. O/4;HSC/53;2014;108;1256580-46-7;
alefacept;aléfacept;3002.13;NC2116B1b Ann. S/2;HSC/55;2015;84;222535-22-0;HSC/37 (3002.10)
aleglitazar;aléglitazar;2934.99;NC1178B1c Ann. O/5;HSC/39;2007;95;475479-34-6;
alemcinal;alemcinal;2932.20;NC2004B1b Ann. O/6;HSC/53;2014;82;150785-53-8;HSC/29 (2932.29)
alemtuzumab;alemtuzumab;3002.13;NC2116B1b Ann. S/2;HSC/55;2015;83;216503-57-0;HSC/27 (3002.10)
aleplasinin;aléplasinine;2933.99;NC1443B1b Ann. P/5;HSC/43;2009;98;481629-87-2;
